รหัสกิจกรรม,เดือน,สรุปผล
P_1.1,ม.ค.,ดำเนินการ การปรับปรุงโครงสร้างการดำเนินง ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.1,ก.พ.,ดำเนินการ การปรับปรุงโครงสร้างการดำเนินง ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.1,มี.ค.,ดำเนินการ การปรับปรุงโครงสร้างการดำเนินง ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.1,เม.ย.,ดำเนินการ การปรับปรุงโครงสร้างการดำเนินง ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.1,พ.ค.,ดำเนินการ การปรับปรุงโครงสร้างการดำเนินง ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.1,มิ.ย.,ดำเนินการ การปรับปรุงโครงสร้างการดำเนินง ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.2,ม.ค.,ดำเนินการ โครงสร้างหน่วยงานที่ทำหน้าที่ร ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.2,ก.พ.,ดำเนินการ โครงสร้างหน่วยงานที่ทำหน้าที่ร ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.2,มี.ค.,ดำเนินการ โครงสร้างหน่วยงานที่ทำหน้าที่ร ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.2,เม.ย.,ดำเนินการ โครงสร้างหน่วยงานที่ทำหน้าที่ร ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.2,พ.ค.,ดำเนินการ โครงสร้างหน่วยงานที่ทำหน้าที่ร ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.2,มิ.ย.,ดำเนินการ โครงสร้างหน่วยงานที่ทำหน้าที่ร ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.3,ม.ค.,ดำเนินการ การจัดทำ Risk Taxonomy เพื่อคว ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.3,ก.พ.,ดำเนินการ การจัดทำ Risk Taxonomy เพื่อคว ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.3,มี.ค.,ดำเนินการ การจัดทำ Risk Taxonomy เพื่อคว ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.3,เม.ย.,ดำเนินการ การจัดทำ Risk Taxonomy เพื่อคว ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.3,พ.ค.,ดำเนินการ การจัดทำ Risk Taxonomy เพื่อคว ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.3,มิ.ย.,ดำเนินการ การจัดทำ Risk Taxonomy เพื่อคว ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.4,เม.ย.,ดำเนินการ การวิเคราะห์ตัวชี้วัดความเสี่ย ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.4,พ.ค.,ดำเนินการ การวิเคราะห์ตัวชี้วัดความเสี่ย ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.4,มิ.ย.,ดำเนินการ การวิเคราะห์ตัวชี้วัดความเสี่ย ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.9,ม.ค.,ดำเนินการ การผลักดันให้มีหน่วยงานกลางกำก ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.9,ก.พ.,ดำเนินการ การผลักดันให้มีหน่วยงานกลางกำก ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.9,มี.ค.,ดำเนินการ การผลักดันให้มีหน่วยงานกลางกำก ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.9,เม.ย.,ดำเนินการ การผลักดันให้มีหน่วยงานกลางกำก ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.9,พ.ค.,ดำเนินการ การผลักดันให้มีหน่วยงานกลางกำก ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.9,มิ.ย.,ดำเนินการ การผลักดันให้มีหน่วยงานกลางกำก ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.10,เม.ย.,ดำเนินการ การบูรณาการข้อมูลกระบวนงาน ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.10,พ.ค.,ดำเนินการ การบูรณาการข้อมูลกระบวนงาน ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.10,มิ.ย.,ดำเนินการ การบูรณาการข้อมูลกระบวนงาน ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.12,ม.ค.,ดำเนินการ การจัดทำแนวทาง/เอกสารในการรวบร ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.12,ก.พ.,ดำเนินการ การจัดทำแนวทาง/เอกสารในการรวบร ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.12,มี.ค.,ดำเนินการ การจัดทำแนวทาง/เอกสารในการรวบร ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
